Lon,Lat,Population
-78.40277778,27.26138889,2.988348007
-78.40305556,27.26111111,2.988348007
-78.40166667,27.26083333,2.988348007
-78.40305556,27.26055556,2.988348007
-78.40194444,27.26055556,2.988348007
-78.40166667,27.26055556,2.988348007
-78.40138889,27.26055556,2.988348007
-78.40138889,27.26027778,2.988348007
-78.40111111,27.26027778,2.988348007
-78.39611111,27.25888889,2.988348007
-78.39527778,27.25833333,2.988348007
-78.39277778,27.25777778,2.988348007
-78.3925,27.25777778,2.988348007
-78.39416667,27.2575,2.988348007
-78.39416667,27.25722222,2.988348007
-78.31611111,27.22611111,2.988348007
-78.31305556,27.22194444,2.988348007
-78.32972222,27.22138889,2.988348007
-78.33055556,27.22111111,2.988348007
-78.33027778,27.22111111,2.988348007
-78.33,27.22111111,2.988348007
-78.32916667,27.22111111,2.988348007
-78.32388889,27.22111111,2.988348007
-78.3125,27.22111111,2.988348007
-78.31222222,27.22111111,2.988348007
-78.32916667,27.22083333,2.988348007
-78.31527778,27.22055556,2.988348007
-78.31166667,27.22055556,2.988348007
-78.32916667,27.22027778,2.988348007
-78.32861111,27.22027778,2.988348007
-78.32777778,27.22027778,2.988348007
-78.32888889,27.22,2.988348007
-78.32861111,27.22,2.988348007
-78.32638889,27.22,2.988348007
-78.32694444,27.21972222,2.988348007
-78.32666667,27.21972222,2.988348007
-78.31472222,27.21972222,2.988348007
-78.31361111,27.21972222,2.988348007
-78.32833333,27.21944444,2.988348007
-78.32777778,27.21944444,2.988348007
-78.3275,27.21944444,2.988348007
-78.32666667,27.21944444,2.988348007
-78.32611111,27.21944444,2.988348007
-78.32805556,27.21916667,2.988348007
-78.32694444,27.21916667,2.988348007
-78.32638889,27.21916667,2.988348007
-78.32527778,27.21916667,2.988348007
-78.32472222,27.21916667,2.988348007
-78.31472222,27.21916667,2.988348007
-78.31444444,27.21916667,2.988348007
-78.31388889,27.21916667,2.988348007
-78.31361111,27.21916667,2.988348007
-78.31333333,27.21916667,2.988348007
-78.32777778,27.21888889,2.988348007
-78.32638889,27.21888889,2.988348007
-78.32583333,27.21888889,2.988348007
-78.325,27.21888889,2.988348007
-78.32472222,27.21888889,2.988348007
-78.32416667,27.21888889,2.988348007
-78.32638889,27.21861111,2.988348007
-78.32611111,27.21861111,2.988348007
-78.32583333,27.21861111,2.988348007
-78.32527778,27.21861111,2.988348007
-78.32472222,27.21861111,2.988348007
-78.32444444,27.21861111,2.988348007
-78.32361111,27.21861111,2.988348007
-78.32333333,27.21861111,2.988348007
-78.30805556,27.21861111,2.988348007
-78.32722222,27.21833333,2.988348007
-78.32666667,27.21833333,2.988348007
-78.32555556,27.21833333,2.988348007
-78.32305556,27.21833333,2.988348007
-78.32638889,27.21777778,2.988348007
-78.32611111,27.21777778,2.988348007
-78.32583333,27.21777778,2.988348007
-78.32638889,27.2175,2.988348007
-78.32555556,27.2175,2.988348007
-78.32333333,27.2175,2.988348007
-78.32472222,27.21722222,2.988348007
-78.32416667,27.21694444,2.988348007
-78.32388889,27.21694444,2.988348007
-78.32416667,27.21666667,2.988348007
-78.32361111,27.21666667,2.988348007
-78.30416667,27.21638889,2.988348007
-78.32333333,27.21611111,2.988348007
-78.30416667,27.21611111,2.988348007
-78.30361111,27.21583333,2.988348007
-78.30305556,27.21555556,2.988348007
-78.30277778,27.21555556,2.988348007
-78.3025,27.21555556,2.988348007
-78.30305556,27.21527778,2.988348007
-78.30277778,27.21527778,2.988348007
-78.3025,27.21527778,2.988348007
-78.30305556,27.215,2.988348007
-78.00222222,27.08694444,2.586580038
-77.83694444,27.04722222,2.586580038
-77.83666667,27.04666667,2.586580038
-77.83611111,27.04666667,2.586580038
-77.83583333,27.04666667,2.586580038
-77.83527778,27.04638889,2.586580038
-77.77277778,27.04,2.586580038
-77.77333333,27.03944444,2.586580038
-77.77305556,27.03944444,2.586580038
-77.77361111,27.03888889,2.586580038
-77.77388889,27.03861111,2.586580038
-77.60027778,26.95,2.586580038
-77.54305556,26.94944444,2.586580038
-77.54277778,26.94916667,2.586580038
-77.5425,26.94916667,2.586580038
-77.54444444,26.94888889,2.586580038
-77.54416667,26.94888889,2.586580038
-77.54388889,26.94888889,2.586580038
-77.54388889,26.94861111,2.586580038
-77.53666667,26.94666667,2.586580038
-77.53694444,26.94638889,2.586580038
-77.53666667,26.94611111,2.586580038
-77.53472222,26.94611111,2.586580038
-77.53444444,26.94611111,2.586580038
-77.53444444,26.94583333,2.586580038
-77.53111111,26.94333333,2.586580038
-77.53027778,26.94333333,2.586580038
-77.53,26.94333333,2.586580038
-77.53111111,26.94305556,2.586580038
-77.53111111,26.94277778,2.586580038
-77.53083333,26.94277778,2.586580038
-77.52583333,26.9425,2.586580038
-77.52861111,26.94194444,2.586580038
-77.52888889,26.94166667,2.586580038
-77.52861111,26.94166667,2.586580038
-77.52944444,26.94138889,2.586580038
-77.52916667,26.94138889,2.586580038
-77.52888889,26.94138889,2.586580038
-77.52722222,26.94083333,2.586580038
-77.52694444,26.94083333,2.586580038
-77.52638889,26.94055556,2.586580038
-77.52361111,26.93888889,2.586580038
-77.52472222,26.93861111,2.586580038
-77.5225,26.93833333,2.586580038
-77.52222222,26.93833333,2.586580038
-77.52194444,26.93833333,2.586580038
-77.52388889,26.93805556,2.586580038
-77.52361111,26.93805556,2.586580038
-77.52194444,26.93805556,2.586580038
-77.52333333,26.9375,2.586580038
-77.52305556,26.9375,2.586580038
-77.79611111,26.92,2.586580038
-77.79527778,26.92,2.586580038
-77.79472222,26.92,2.586580038
-77.79305556,26.92,2.586580038
-77.79277778,26.92,2.586580038
-77.7925,26.92,2.586580038
-77.79222222,26.92,2.586580038
-77.79166667,26.92,2.586580038
-77.79111111,26.92,2.586580038
-77.79055556,26.92,2.586580038
-77.78944444,26.92,2.586580038
-77.78583333,26.92,2.586580038
-77.785,26.92,2.586580038
-77.79583333,26.91972222,2.586580038
-77.79555556,26.91972222,2.586580038
